raiting,name,data,epis,isreal,reit,score,leng,studio,Avant-garde,Gourmet,Drama,Comedy,Slice of Life,Adventure,Romance,Supernatural,Sports,Mystery,Thriller,Horror,Science Fiction,Fantasy,Action,Ecchi,Erotica,Hentai,Shounen,Shoujo,Seinen,Josei,Kids
0,Провожающая в последний путь Фрирен,2023,28,True,PG-13,9.32,24,Madhouse,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,Ван-Пис: Письмо от поклонника,2024,1,True,PG-13,9.1,24,Toei,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2,Гинтама 2,2011,51,True,PG-13,9.03,24,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
3,Охотник х Охотник (2011),2011,148,True,PG-13,9.03,23,Madhouse,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
4,Легенда о героях Галактики,1988,110,True,R+,9.01,26,K-Factory,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,Гинтама,2006,201,True,PG-13,8.93,24,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
6,Мартовский лев 2,2017,22,True,PG-13,8.91,25,Shaft,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Провожающая в последний путь Фрирен,2023,28,True,PG-13,9.32,24,Madhouse,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,Ван-Пис: Письмо от поклонника,2024,1,True,PG-13,9.1,24,Toei,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
9,Гинтама 2,2011,51,True,PG-13,9.03,24,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
10,Охотник х Охотник (2011),2011,148,True,PG-13,9.03,23,Madhouse,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
11,Легенда о героях Галактики,1988,110,True,R+,9.01,26,K-Factory,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Гинтама,2006,201,True,PG-13,8.93,24,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
13,Мартовский лев 2,2017,22,True,PG-13,8.91,25,Shaft,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,Код Гиас: Восставший Лелуш 2,2008,25,True,R-17,8.91,24,Sunrise,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
15,Гинтама: Финальная арка — Ёродзуя навсегда!,2013,1,True,PG-13,8.9,110,Sunrise,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
16,Гинтама 8,2018,14,True,PG-13,8.88,24,Pictures,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
17,Атака титанов: Финал — Заключительная глава,2023,2,True,R-17,8.88,72,MAPPA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
18,Монолог фармацевта,2023,24,True,PG-13,8.88,22,OLM,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,История финала 2,2017,7,True,R-17,8.87,22,Shaft,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Твоё имя,2016,1,True,PG-13,8.83,106,Films,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Царство 3,2020,26,True,R-17,8.82,25,Pierrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22,Гинтама 7,2018,12,True,PG-13,8.81,24,Pictures,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
23,Сага о Винланде 2,2023,24,True,R-17,8.81,25,MAPPA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24,Магическая битва 2,2023,23,True,R-17,8.8,23,MAPPA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
25,Моб Психо 100 2,2019,13,True,PG-13,8.79,24,Bones,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Истории ран. Часть 3: Холодная кровь,2017,1,True,R-17,8.78,83,Shaft,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Re:Zero. Жизнь с нуля в альтернативном мире 3,2024,8 / 16,False,R-17,8.77,23,Fox,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
28,Волейбол!! 3,2016,10,True,PG-13,8.77,24,I.G,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,Атака титанов: Финал,2020,16,True,R-17,8.78,23,MAPPA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
30,Одинокий рокер!,2022,12,True,PG-13,8.77,23,CloverWorks,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Опасность в моём сердце 2,2024,13,True,PG-13,8.78,23,Shin-Ei,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Первый шаг,2000,75,True,PG-13,8.77,23,Madhouse,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,Атака титанов: Финал. Часть 2,2022,12,True,R-17,8.76,23,MAPPA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
34,Цикл историй: Второй сезон,2013,26,True,R-17,8.76,25,Shaft,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Сага о Винланде,2019,24,True,R-17,8.76,24,Wit,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
